¿¬µµ,ÆÀ¸í,AVG_Hitter,G_Hitter,PA_Hitter,AB_Hitter,R_Hitter,H_Hitter,2B_Hitter,3B_Hitter,HR_Hitter,TB_Hitter,RBI_Hitter,SAC_Hitter,SF_Hitter,BB_Hitter,IBB_Hitter,HBP_Hitter,SO_Hitter,GDP_Hitter,SLG_Hitter,OBP_Hitter,OPS_Hitter,MH_Hitter,RISP_Hitter,PH-BA_Hitter,ERA_Pitcher,G_Pitcher,W_Pitcher,L_Pitcher,SV_Pitcher,HLD_Pitcher,WPCT_Pitcher,IP_Pitcher,H_Pitcher,HR_Pitcher,BB_Pitcher,HBP_Pitcher,SO_Pitcher,R_Pitcher,ER_Pitcher,WHIP_Pitcher,CG_Pitcher,SHO_Pitcher,QS_Pitcher,BSV_Pitcher,TBF_Pitcher,NP_Pitcher,AVG_Pitcher,2B_Pitcher,3B_Pitcher,SAC_Pitcher,SF_Pitcher,IBB_Pitcher,WP_Pitcher,BK_Pitcher,G_Defense,E_Defense,PKO_Defense,PO_Defense,A_Defense,DP_Defense,FPCT_Defense,PB_Defense,SB_Defense,CS_Defense,CS%_Defense,G_Runner,SBA_Runner,SB_Runner,CS_Runner,SB%_Runner,OOB_Runner,PKO_Runner
2014,»ï¼º,0.301,128,5152,4464,812,1345,238,23,161,2112,763,76,43.0,507,11,62,743,88.0,0.473,0.377,0.85,128.0,0.327,0.223,4.52,128.0,78.0,47.0,35.0,65.0,0.624,1144,1217.0,120.0,395.0,61.0,996.0,621.0,575.0,1.41,3,6,63,18,4990,19628.0,0.275,257,24,66,40,11,51,3.0,128,77,6,3432,1171,104.0,0.984,8,100,44.0,30.6,128,207,161,46.0,77.8,60,10.0
2014,³Ø¼¾,0.298,128,5163,4434,841,1323,275,31,199,2257,786,65,40.0,523,10,101,849,100.0,0.509,0.382,0.891,128.0,0.286,0.233,5.25,128.0,78.0,48.0,35.0,55.0,0.619,1131+2/3,1299.0,142.0,516.0,61.0,901.0,716.0,660.0,1.6,0,3,43,12,5107,20728.0,0.293,231,18,57,36,2,55,4.0,128,79,12,3395,1342,125.0,0.984,7,118,44.0,27.2,128,144,100,44.0,69.4,54,13.0
2014,µÎ»ê,0.293,128,5083,4427,687,1299,235,26,108,1910,646,81,43.0,468,10,64,731,103.0,0.431,0.366,0.797,128.0,0.282,0.194,5.43,128.0,59.0,68.0,19.0,61.0,0.465,1123+2/3,1311.0,121.0,450.0,58.0,840.0,733.0,678.0,1.57,4,2,42,14,5066,19670.0,0.295,243,29,63,55,4,56,4.0,128,81,3,3371,1268,102.0,0.983,7,113,46.0,28.9,128,155,111,44.0,71.6,50,6.0
2014,SK,0.291,128,5082,4423,735,1285,245,22,115,1919,696,91,49.0,447,12,72,926,92.0,0.434,0.361,0.795,128.0,0.301,0.305,5.51,128.0,61.0,65.0,26.0,44.0,0.484,1129+1/3,1271.0,153.0,522.0,68.0,837.0,760.0,692.0,1.59,2,3,41,15,5112,20141.0,0.287,239,21,60,36,19,67,1.0,128,107,3,3388,1373,132.0,0.978,6,103,51.0,33.1,128,185,139,46.0,75.1,50,11.0
2014,KIA,0.288,128,5023,4443,662,1279,246,27,121,1942,631,67,35.0,416,11,62,870,95.0,0.437,0.355,0.792,128.0,0.258,0.235,5.82,128.0,54.0,74.0,26.0,40.0,0.422,1121+2/3,1289.0,116.0,561.0,67.0,896.0,788.0,725.0,1.65,2,5,42,21,5143,20272.0,0.293,252,32,66,52,8,78,1.0,128,94,7,3365,1348,131.0,0.98,7,162,64.0,28.3,128,184,121,63.0,65.8,59,7.0
2014,·Ôµ¥,0.287,128,5194,4487,716,1288,252,26,121,1955,685,62,41.0,534,19,70,964,95.0,0.436,0.369,0.805,127.0,0.283,0.245,5.19,128.0,58.0,69.0,28.0,64.0,0.457,1133+1/3,1310.0,127.0,471.0,52.0,781.0,719.0,654.0,1.57,0,4,46,14,5092,19761.0,0.295,250,26,82,42,13,54,1.0,128,89,16,3400,1407,134.0,0.982,11,84,37.0,30.6,128,104,63,41.0,60.6,49,2.0
2014,ÇÑÈ­,0.283,128,5055,4417,619,1251,223,24,104,1834,594,50,43.0,490,5,55,839,125.0,0.415,0.359,0.774,128.0,0.266,0.221,6.35,128.0,49.0,77.0,26.0,30.0,0.389,1129,1451.0,162.0,537.0,81.0,748.0,889.0,796.0,1.76,2,3,37,11,5312,20365.0,0.318,265,48,69,59,14,83,3.0,128,113,7,3387,1344,126.0,0.977,12,110,59.0,34.9,128,111,70,41.0,63.1,46,5.0
2014,NC,0.282,128,5031,4426,737,1249,228,36,143,1978,697,44,51.0,443,9,67,918,90.0,0.447,0.353,0.8,127.0,0.3,0.257,4.29,128.0,70.0,57.0,31.0,59.0,0.551,1135+2/3,1174.0,117.0,481.0,73.0,848.0,608.0,541.0,1.46,3,4,59,19,5003,19320.0,0.271,223,12,78,38,8,50,5.0,128,87,6,3407,1384,125.0,0.982,9,94,43.0,31.4,128,201,154,47.0,76.6,44,7.0
2014,LG,0.279,128,5070,4349,668,1214,213,22,90,1741,622,77,57.0,524,17,63,817,112.0,0.4,0.361,0.761,127.0,0.29,0.202,4.58,128.0,62.0,64.0,35.0,65.0,0.492,1142+2/3,1211.0,104.0,419.0,95.0,810.0,643.0,581.0,1.43,2,9,47,21,5028,19440.0,0.275,195,27,72,44,25,51,1.0,128,91,10,3428,1414,125.0,0.982,9,119,48.0,28.7,128,169,105,64.0,62.1,51,9.0
2015,»ï¼º,0.302,144,5803,5019,897,1515,259,25,176,2352,850,76,57.0,581,21,70,930,109.0,0.469,0.378,0.847,143.0,0.311,0.239,4.69,144.0,88.0,56.0,34.0,60.0,0.611,1275+1/3,1323.0,182.0,423.0,64.0,1194.0,716.0,665.0,1.37,4,7,75,10,5523,21832.0,0.268,270,17,67,37,11,44,2.0,144,96,9,3826,1304,104.0,0.982,8,80,49.0,38.0,144,209,157,52.0,75.1,60,6.0
2015,³Ø¼¾,0.298,144,5811,5069,904,1512,304,20,203,2465,855,61,55.0,544,18,82,1098,112.0,0.486,0.372,0.858,141.0,0.298,0.27,4.91,144.0,78.0,65.0,29.0,44.0,0.545,1286,1404.0,146.0,518.0,81.0,1066.0,790.0,701.0,1.49,1,7,49,11,5709,22181.0,0.281,236,28,70,45,8,85,4.0,144,110,24,3858,1540,138.0,0.98,10,111,52.0,31.9,144,147,100,47.0,68.0,72,16.0
2015,µÎ»ê,0.29,144,5759,4957,807,1436,254,22,140,2154,770,75,60.0,567,24,99,820,139.0,0.435,0.37,0.805,143.0,0.287,0.262,5.02,144.0,79.0,65.0,30.0,57.0,0.549,1286,1385.0,138.0,584.0,77.0,1064.0,776.0,718.0,1.53,3,10,58,18,5762,22557.0,0.28,248,22,104,45,15,72,11.0,144,93,7,3858,1498,134.0,0.983,6,109,48.0,30.6,144,158,111,47.0,70.3,56,6.0
