연도,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
2004,박지철,롯데,3.87,27,9,7,0,0,0.563,139+2/3,131,9,60,6,94,62,60,1.37,1,1,11,0,600,2407,0.253,33,1,8,8,1,7,0,26,9,0,1,0,0,12,162,139,1.17
2004,오재영,현대,3.99,30,10,9,0,0,0.526,149,135,16,53,5,113,71,66,1.26,1,0,12,0,625,2540,0.241,28,1,5,2,0,5,1,25,10,0,2,0,0,11,156,158,0.99
2004,이승호,SK,3.99,31,15,9,0,1,0.625,169,160,21,87,13,145,87,75,1.46,1,0,12,0,743,3091,0.256,25,1,15,2,2,2,0,30,15,0,1,1,0,14,145,178,0.81
2004,김수경,현대,4.01,26,11,8,0,0,0.579,152+2/3,151,14,62,3,100,74,68,1.4,0,0,15,0,668,2607,0.257,28,2,8,7,0,7,1,26,11,0,0,0,0,7,139,205,0.68
2004,장문석,LG,4.03,28,10,8,1,0,0.556,152,168,15,55,8,75,73,68,1.47,0,0,12,0,657,2596,0.291,36,0,11,5,3,1,0,27,10,0,1,1,0,13,151,189,0.8
2004,마뇽,KIA,4.17,34,8,9,0,1,0.471,155+1/3,156,15,63,9,83,76,72,1.41,1,1,12,0,672,2456,0.27,26,6,14,8,0,1,0,26,8,0,4,2,0,14,151,196,0.77
2004,김원형,SK,4.2,30,8,6,1,1,0.571,135,147,19,41,10,78,70,63,1.39,1,0,8,0,588,2132,0.281,23,0,10,3,0,2,1,20,8,0,4,2,0,15,173,129,1.34
2004,호지스,삼성,4.24,30,9,10,0,0,0.474,163+1/3,158,15,81,21,123,91,77,1.46,0,0,13,0,719,2796,0.262,27,3,12,3,1,9,1,27,9,0,2,1,0,20,203,121,1.68
2004,김진웅,삼성,4.32,35,9,7,0,2,0.563,135+1/3,126,12,75,8,99,73,65,1.49,0,0,7,0,597,2453,0.255,20,1,16,4,2,3,1,24,8,1,2,1,0,12,124,149,0.83
2004,김광삼,LG,4.47,31,8,7,0,1,0.533,151,164,9,76,11,109,85,75,1.59,2,0,12,0,688,2755,0.279,20,3,9,4,2,10,0,26,7,1,2,1,0,12,154,165,0.93
2004,정민태,현대,5.0,28,7,14,0,0,0.333,165+2/3,193,21,42,8,123,109,92,1.42,1,0,15,0,721,2757,0.293,35,3,10,3,0,9,0,28,7,0,1,0,0,16,204,141,1.45
2004,송창식,한화,5.13,26,8,7,0,0,0.533,140+1/3,143,15,63,8,80,83,80,1.47,1,0,10,0,620,2428,0.268,33,1,7,8,1,7,1,24,8,0,3,0,0,10,154,165,0.93
2004,강철민,KIA,5.33,31,8,12,1,0,0.4,145+1/3,159,14,61,13,86,94,86,1.51,1,0,9,0,650,2429,0.282,34,4,10,3,1,9,0,26,8,0,4,0,0,15,165,156,1.06
