연도,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
2015.0,최형우,삼성,0.318,144.0,637.0,547.0,94.0,174.0,33.0,1.0,33.0,308.0,123.0,0.0,8.0,73.0,7.0,9.0,101.0,13.0,0.563,0.402,0.965,46.0,0.302,0.0,22,120,113,1.06,0,0.77,3.99,0.074,56.8,0.251
2015.0,손아섭,롯데,0.317,116.0,517.0,445.0,86.0,141.0,28.0,1.0,13.0,210.0,54.0,0.0,3.0,68.0,3.0,1.0,96.0,6.0,0.472,0.406,0.878,39.0,0.354,0.0,42,114,113,1.01,0,0.56,4.21,0.164,75.1,0.279
2015.0,허경민,두산,0.317,117.0,453.0,404.0,64.0,128.0,20.0,2.0,1.0,155.0,41.0,8.0,3.0,31.0,0.0,7.0,42.0,11.0,0.384,0.373,0.757,36.0,0.274,0.0,28,150,128,1.17,0,0.63,3.74,0.094,67.2,0.247
2015.0,정근우,한화,0.316,126.0,552.0,468.0,99.0,148.0,30.0,2.0,12.0,218.0,66.0,13.0,2.0,61.0,1.0,8.0,66.0,14.0,0.466,0.403,0.869,48.0,0.307,0.0,31,99,111,0.89,0,0.57,4.02,0.161,73.0,0.281
2015.0,김태균,한화,0.316,133.0,524.0,408.0,61.0,129.0,28.0,0.0,21.0,220.0,104.0,1.0,5.0,98.0,12.0,12.0,80.0,19.0,0.539,0.457,0.996,30.0,0.353,0.333,41,107,101,1.06,0,0.54,4.09,0.169,65.2,0.269
2015.0,이명기,SK,0.315,137.0,582.0,521.0,88.0,164.0,30.0,2.0,3.0,207.0,35.0,11.0,4.0,35.0,0.0,11.0,86.0,7.0,0.397,0.368,0.765,45.0,0.288,0.125,18,141,86,1.64,0,0.7,3.64,0.068,51.0,0.243
2015.0,아두치,롯데,0.314,132.0,594.0,526.0,105.0,165.0,34.0,5.0,28.0,293.0,106.0,1.0,4.0,55.0,8.0,8.0,118.0,9.0,0.557,0.384,0.941,45.0,0.354,0.75,31,88,129,0.68,0,0.63,3.6,0.162,56.5,0.262
2015.0,강민호,롯데,0.311,123.0,456.0,380.0,63.0,118.0,18.0,1.0,35.0,243.0,86.0,0.0,2.0,60.0,2.0,14.0,112.0,14.0,0.639,0.421,1.06,32.0,0.322,0.167,25,136,97,1.4,0,0.68,4.18,0.082,55.8,0.243
2015.0,김재호,두산,0.307,133.0,488.0,410.0,63.0,126.0,24.0,3.0,3.0,165.0,50.0,14.0,7.0,54.0,0.0,3.0,42.0,18.0,0.402,0.386,0.788,33.0,0.306,0.0,26,113,85,1.33,0,0.56,4.12,0.147,48.6,0.25
2015.0,최준석,롯데,0.306,144.0,618.0,507.0,78.0,155.0,18.0,1.0,31.0,268.0,109.0,1.0,1.0,108.0,4.0,1.0,134.0,17.0,0.529,0.428,0.957,38.0,0.34,0.0,36,114,125,0.91,0,0.41,3.73,0.141,57.1,0.241
2015.0,박민우,NC,0.304,141.0,617.0,520.0,111.0,158.0,31.0,6.0,3.0,210.0,47.0,3.0,7.0,73.0,0.0,14.0,108.0,4.0,0.404,0.399,0.803,44.0,0.379,0.6,28,116,137,0.85,0,0.48,4.06,0.086,52.6,0.227
2015.0,민병헌,두산,0.303,129.0,561.0,491.0,80.0,149.0,20.0,2.0,12.0,209.0,75.0,6.0,6.0,50.0,0.0,8.0,74.0,15.0,0.426,0.373,0.799,47.0,0.323,0.5,21,108,121,0.89,0,1.23,4.23,0.095,54.4,0.255
2015.0,김민성,넥센,0.303,118.0,489.0,445.0,60.0,135.0,24.0,0.0,16.0,207.0,71.0,2.0,3.0,31.0,1.0,8.0,62.0,15.0,0.465,0.357,0.822,40.0,0.257,0.333,25,109,114,0.96,0,0.43,3.73,0.091,41.2,0.223
2015.0,이대형,KT,0.302,140.0,616.0,546.0,86.0,165.0,23.0,3.0,0.0,194.0,37.0,10.0,1.0,53.0,0.0,6.0,92.0,5.0,0.355,0.37,0.725,44.0,0.29,0.667,41,74,108,0.69,0,0.42,4.16,0.198,64.2,0.258
2015.0,정훈,롯데,0.3,135.0,562.0,486.0,85.0,146.0,27.0,2.0,9.0,204.0,62.0,7.0,3.0,52.0,2.0,14.0,102.0,14.0,0.42,0.382,0.802,40.0,0.295,0.429,40,93,108,0.86,0,1.17,3.96,0.173,100.0,0.347
2015.0,김성현,SK,0.297,129.0,449.0,397.0,49.0,118.0,20.0,0.0,8.0,162.0,48.0,12.0,2.0,31.0,0.0,7.0,42.0,14.0,0.408,0.357,0.765,34.0,0.324,0.6,57,97,129,0.75,0,0.91,4.03,0.245,95.1,0.326
2015.0,정수빈,두산,0.295,128.0,570.0,491.0,79.0,145.0,27.0,7.0,2.0,192.0,59.0,19.0,6.0,43.0,1.0,11.0,70.0,9.0,0.391,0.361,0.752,42.0,0.32,0.0,31,174,96,1.81,0,0.52,3.72,0.082,72.5,0.266
2016.0,최형우,삼성,0.376,138.0,618.0,519.0,99.0,195.0,46.0,2.0,31.0,338.0,144.0,0.0,7.0,83.0,8.0,9.0,83.0,12.0,0.651,0.464,1.115,58.0,0.38,0.0,45,93,134,0.69,0,0.87,4.05,0.212,99.9,0.326
2016.0,김태균,한화,0.365,144.0,652.0,529.0,94.0,193.0,39.0,0.0,23.0,301.0,136.0,0.0,6.0,108.0,10.0,9.0,97.0,11.0,0.569,0.475,1.044,60.0,0.417,0.0,42,99,96,1.03,0,1.05,3.99,0.189,71.1,0.31
2016.0,이용규,한화,0.352,113.0,530.0,452.0,98.0,159.0,20.0,4.0,3.0,196.0,41.0,7.0,1.0,63.0,1.0,7.0,29.0,7.0,0.434,0.438,0.872,54.0,0.374,0.0,51,112,129,0.87,0,0.58,3.83,0.195,90.7,0.298
2016.0,김주찬,KIA,0.346,130.0,555.0,511.0,97.0,177.0,37.0,3.0,23.0,289.0,101.0,1.0,6.0,30.0,1.0,7.0,68.0,13.0,0.566,0.386,0.952,54.0,0.421,1.0,22,122,92,1.33,0,1.07,3.52,0.082,53.6,0.269
2016.0,박용택,LG,0.346,138.0,578.0,509.0,84.0,176.0,24.0,0.0,11.0,233.0,90.0,0.0,7.0,58.0,5.0,4.0,71.0,13.0,0.458,0.412,0.87,52.0,0.376,0.25,48,157,131,1.2,0,0.64,3.57,0.146,82.4,0.276
2016.0,구자욱,삼성,0.343,108.0,495.0,428.0,105.0,147.0,19.0,13.0,14.0,234.0,77.0,2.0,5.0,55.0,1.0,5.0,68.0,4.0,0.547,0.42,0.967,47.0,0.352,0.5,24,122,79,1.54,0,0.81,3.85,0.077,58.7,0.272
2016.0,박민우,NC,0.343,121.0,515.0,435.0,84.0,149.0,16.0,6.0,3.0,186.0,55.0,10.0,7.0,55.0,1.0,8.0,70.0,9.0,0.428,0.42,0.848,42.0,0.434,0.0,28,119,99,1.2,0,1.28,4.24,0.098,64.8,0.285
2016.0,유한준,KT,0.336,110.0,460.0,408.0,70.0,137.0,22.0,0.0,14.0,201.0,64.0,0.0,3.0,47.0,1.0,2.0,40.0,10.0,0.493,0.404,0.897,43.0,0.319,0.0,44,105,104,1.01,0,0.8,3.95,0.188,81.1,0.305
2016.0,황재균,롯데,0.335,127.0,559.0,498.0,97.0,167.0,26.0,5.0,27.0,284.0,113.0,0.0,8.0,49.0,5.0,4.0,66.0,10.0,0.57,0.394,0.964,46.0,0.411,0.25,31,140,102,1.37,0,0.38,3.5,0.1,49.3,0.25
2016.0,박건우,두산,0.335,132.0,540.0,484.0,95.0,162.0,36.0,4.0,20.0,266.0,83.0,4.0,5.0,38.0,0.0,9.0,86.0,9.0,0.55,0.39,0.94,49.0,0.331,0.143,60,78,162,0.48,0,0.5,3.73,0.238,96.2,0.308
2016.0,고종욱,넥센,0.334,133.0,566.0,527.0,92.0,176.0,22.0,9.0,8.0,240.0,72.0,1.0,5.0,28.0,1.0,5.0,103.0,10.0,0.455,0.37,0.825,52.0,0.409,0.545,35,120,144,0.83,0,0.63,3.36,0.11,62.0,0.257
2016.0,김재환,두산,0.325,134.0,568.0,492.0,107.0,160.0,32.0,3.0,37.0,309.0,124.0,0.0,5.0,71.0,3.0,0.0,107.0,9.0,0.628,0.407,1.035,48.0,0.313,0.8,35,110,85,1.29,0,0.57,3.94,0.167,63.0,0.281
2016.0,송광민,한화,0.325,116.0,494.0,449.0,80.0,146.0,27.0,2.0,17.0,228.0,83.0,7.0,6.0,28.0,0.0,4.0,86.0,16.0,0.508,0.366,0.874,43.0,0.328,0.5,25,120,145,0.83,0,0.92,3.6,0.092,61.2,0.257
2016.0,김문호,롯데,0.325,140.0,599.0,526.0,77.0,171.0,28.0,3.0,7.0,226.0,70.0,3.0,2.0,62.0,1.0,6.0,70.0,15.0,0.43,0.401,0.831,49.0,0.305,0.429,65,92,137,0.67,0,0.66,3.99,0.271,103.1,0.317
2016.0,서건창,넥센,0.325,140.0,646.0,560.0,111.0,182.0,30.0,7.0,7.0,247.0,63.0,3.0,4.0,69.0,2.0,10.0,58.0,6.0,0.441,0.406,0.847,61.0,0.305,0.0,36,131,150,0.87,0,0.57,3.69,0.09,66.6,0.251
2016.0,민병헌,두산,0.325,134.0,579.0,511.0,98.0,166.0,31.0,4.0,16.0,253.0,87.0,1.0,4.0,48.0,1.0,15.0,91.0,18.0,0.495,0.396,0.891,48.0,0.357,0.25,18,180,137,1.31,0,1.74,4.1,0.049,71.7,0.253
2016.0,손아섭,롯데,0.323,144.0,672.0,575.0,118.0,186.0,33.0,1.0,16.0,269.0,81.0,0.0,2.0,92.0,1.0,3.0,104.0,4.0,0.468,0.418,0.886,54.0,0.331,0.0,26,141,134,1.05,0,1.21,3.71,0.086,64.9,0.255
2016.0,강민호,롯데,0.323,116.0,460.0,381.0,65.0,123.0,26.0,0.0,20.0,209.0,72.0,0.0,3.0,66.0,4.0,10.0,91.0,7.0,0.549,0.433,0.982,40.0,0.33,0.333,31,106,113,0.94,0,0.47,3.73,0.114,48.5,0.246
2016.0,로사리오,한화,0.321,127.0,532.0,492.0,78.0,158.0,31.0,2.0,33.0,292.0,120.0,1.0,2.0,33.0,3.0,4.0,90.0,16.0,0.593,0.367,0.96,46.0,0.348,0.333,28,97,112,0.87,0,0.73,3.52,0.109,46.1,0.259
2016.0,테임즈,NC,0.321,123.0,529.0,436.0,118.0,140.0,30.0,3.0,40.0,296.0,121.0,0.0,7.0,74.0,6.0,12.0,103.0,2.0,0.679,0.427,1.106,45.0,0.304,1.0,24,121,133,0.91,0,0.73,3.68,0.076,54.8,0.243
2016.0,이대형,KT,0.32,143.0,654.0,600.0,89.0,192.0,14.0,3.0,1.0,215.0,42.0,7.0,1.0,44.0,0.0,2.0,90.0,6.0,0.358,0.368,0.726,56.0,0.315,0.0,29,83,118,0.7,0,0.6,3.96,0.131,64.6,0.271
2016.0,김성현,SK,0.319,138.0,530.0,479.0,66.0,153.0,28.0,0.0,8.0,205.0,65.0,5.0,7.0,33.0,0.0,6.0,37.0,13.0,0.428,0.366,0.794,45.0,0.322,0.2,40,84,112,0.75,0,0.45,4.02,0.195,64.6,0.277
2016.0,오재일,두산,0.316,105.0,455.0,380.0,69.0,120.0,20.0,2.0,27.0,225.0,92.0,2.0,7.0,64.0,2.0,2.0,73.0,5.0,0.592,0.411,1.003,37.0,0.295,0.5,24,108,139,0.78,0,0.47,3.61,0.074,53.4,0.237
2016.0,박경수,KT,0.313,121.0,476.0,402.0,64.0,126.0,22.0,1.0,20.0,210.0,80.0,0.0,4.0,65.0,2.0,5.0,80.0,9.0,0.522,0.412,0.934,34.0,0.325,0.0,25,117,125,0.94,0,0.4,3.68,0.082,47.5,0.233
2016.0,채은성,LG,0.313,128.0,451.0,403.0,64.0,126.0,20.0,3.0,9.0,179.0,81.0,2.0,8.0,31.0,0.0,7.0,75.0,9.0,0.444,0.365,0.809,39.0,0.346,0.333,42,104,166,0.63,0,0.72,3.83,0.154,67.8,0.263
2016.0,필,KIA,0.313,132.0,544.0,499.0,71.0,156.0,37.0,1.0,20.0,255.0,86.0,0.0,7.0,33.0,0.0,5.0,70.0,16.0,0.511,0.357,0.868,46.0,0.284,0.5,32,151,126,1.2,0,1.05,3.83,0.102,60.5,0.246
