¿¬µµ,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
2006,»ï¼º,0.255,126,4779,4091,538,1043,192,9,73,1472,505,90,42.0,477,14,79,689,107.0,0.36,0.341,0.701,126.0,0.254,0.246
2006,SK,0.254,126,4793,4177,509,1059,171,19,99,1565,488,96,33.0,424,19,63,859,84.0,0.375,0.329,0.704,126.0,0.246,0.254
2006,ÇÑÈ­,0.253,126,4769,4170,511,1057,191,3,110,1584,481,68,30.0,442,13,59,800,120.0,0.38,0.331,0.711,123.0,0.24,0.195
2006,·Ôµ¥,0.25,126,4766,4137,488,1034,173,3,88,1477,463,124,21.0,418,17,65,815,84.0,0.357,0.327,0.684,125.0,0.268,0.184
2006,LG,0.246,126,4724,4217,457,1037,181,16,81,1493,430,92,32.0,330,19,52,813,86.0,0.354,0.306,0.66,125.0,0.232,0.208
2007,Çö´ë,0.271,126,4920,4260,530,1154,178,7,96,1634,507,125,32.0,443,38,60,653,111.0,0.384,0.346,0.73,126.0,0.269,0.3
2007,·Ôµ¥,0.27,126,4894,4273,533,1152,193,18,76,1609,501,104,39.0,405,34,73,763,87.0,0.377,0.34,0.717,126.0,0.282,0.262
2007,LG,0.268,126,4933,4322,532,1160,186,19,78,1618,508,89,43.0,431,24,48,704,107.0,0.374,0.338,0.712,126.0,0.262,0.266
2007,SK,0.264,126,4881,4236,603,1118,212,20,112,1706,568,87,40.0,442,22,76,750,86.0,0.403,0.341,0.744,125.0,0.283,0.223
2007,µÎ»ê,0.263,126,4856,4199,578,1103,209,32,78,1610,543,68,51.0,449,21,88,748,102.0,0.383,0.343,0.726,126.0,0.269,0.137
2007,KIA,0.257,126,4811,4204,499,1080,198,16,73,1529,465,78,45.0,428,7,55,630,117.0,0.364,0.33,0.694,126.0,0.242,0.156
2007,ÇÑÈ­,0.254,126,4805,4128,534,1050,165,13,104,1553,502,87,28.0,506,17,56,705,128.0,0.376,0.342,0.718,124.0,0.271,0.216
2007,»ï¼º,0.254,126,4895,4186,497,1062,191,9,86,1529,469,95,39.0,511,28,63,678,93.0,0.365,0.341,0.706,125.0,0.238,0.273
2008,SK,0.282,126,5003,4332,632,1222,215,23,89,1750,591,80,38.0,491,15,62,735,99.0,0.404,0.361,0.765,126.0,0.278,0.289
2008,·Ôµ¥,0.282,126,4890,4256,624,1200,199,22,93,1722,590,62,51.0,445,13,76,728,97.0,0.405,0.356,0.761,126.0,0.273,0.189
2008,µÎ»ê,0.276,126,4975,4344,647,1198,166,37,68,1642,598,36,44.0,472,23,78,719,115.0,0.378,0.354,0.732,126.0,0.278,0.31
2008,¿ì¸®,0.266,126,4834,4317,499,1149,190,19,70,1587,471,51,33.0,396,20,37,713,114.0,0.368,0.331,0.699,126.0,0.27,0.237
2008,KIA,0.26,126,4832,4210,503,1095,188,28,48,1483,465,85,35.0,453,14,48,642,97.0,0.352,0.336,0.688,126.0,0.251,0.217
2008,»ï¼º,0.258,126,4859,4180,557,1078,186,16,92,1572,520,70,38.0,505,15,65,699,115.0,0.376,0.344,0.72,124.0,0.274,0.206
2008,LG,0.256,126,4743,4184,468,1070,164,23,66,1478,447,85,50.0,364,6,59,765,90.0,0.353,0.321,0.674,126.0,0.249,0.257
2008,ÇÑÈ­,0.254,126,4882,4275,592,1086,204,20,120,1690,566,52,35.0,463,17,57,770,100.0,0.395,0.333,0.728,124.0,0.283,0.195
2009,SK,0.285,133,5379,4574,732,1303,235,17,166,2070,693,128,40.0,552,16,84,892,103.0,0.453,0.369,0.822,133.0,0.256,0.294
2009,µÎ»ê,0.28,133,5265,4591,722,1286,215,33,120,1927,669,26,40.0,522,21,86,849,128.0,0.42,0.362,0.782,133.0,0.284,0.157
2009,LG,0.278,133,5248,4505,670,1251,182,21,129,1862,627,97,45.0,552,28,49,781,124.0,0.413,0.36,0.773,133.0,0.265,0.261
2009,·Ôµ¥,0.277,133,5053,4420,637,1223,252,15,121,1868,597,60,49.0,456,9,68,816,121.0,0.423,0.35,0.773,133.0,0.273,0.188
2009,»ï¼º,0.275,133,5220,4459,685,1224,233,15,146,1925,650,67,43.0,584,23,67,789,108.0,0.432,0.364,0.796,133.0,0.275,0.266
2009,È÷¾î·ÎÁî,0.272,133,5211,4486,683,1219,228,20,153,1946,650,64,48.0,547,24,63,905,116.0,0.434,0.356,0.79,133.0,0.26,0.199
2009,ÇÑÈ­,0.269,133,5273,4620,657,1241,211,13,164,1970,629,43,31.0,498,16,81,1017,126.0,0.426,0.348,0.774,133.0,0.264,0.258
2009,KIA,0.267,133,5215,4455,706,1191,197,24,156,1904,671,74,41.0,579,27,66,890,112.0,0.427,0.357,0.784,132.0,0.278,0.262
2010,·Ôµ¥,0.288,133,5261,4673,773,1345,220,16,185,2152,739,60,41.0,420,15,67,873,105.0,0.461,0.352,0.813,133.0,0.315,0.202
2010,µÎ»ê,0.281,133,5252,4538,731,1276,224,25,149,1997,706,54,38.0,533,27,89,834,97.0,0.44,0.365,0.805,133.0,0.284,0.21
2010,LG,0.276,133,5270,4604,688,1270,223,17,121,1890,652,82,44.0,486,25,54,907,97.0,0.411,0.349,0.76,133.0,0.287,0.192
2010,SK,0.274,133,5213,4439,704,1217,222,16,120,1831,648,147,44.0,485,25,98,813,86.0,0.412,0.355,0.767,132.0,0.284,0.243
2010,»ï¼º,0.272,133,5287,4436,681,1207,212,14,118,1801,630,111,44.0,621,29,75,916,111.0,0.406,0.368,0.774,133.0,0.265,0.247
2010,³Ø¼¾,0.262,133,5139,4452,570,1165,199,20,87,1665,539,95,43.0,480,16,68,874,119.0,0.374,0.34,0.714,132.0,0.268,0.221
2010,KIA,0.26,133,5166,4416,611,1148,190,17,106,1690,574,109,33.0,523,14,85,865,110.0,0.383,0.347,0.73,133.0,0.263,0.165
2010,ÇÑÈ­,0.244,133,5009,4321,543,1053,160,13,104,1551,508,75,33.0,497,10,80,943,106.0,0.359,0.331,0.69,133.0,0.263,0.172
2011,·Ôµ¥,0.288,133,5234,4599,713,1324,226,30,111,1943,666,61,44.0,466,19,64,836,124.0,0.422,0.358,0.78,133.0,0.29,0.229
2011,µÎ»ê,0.271,133,5204,4498,614,1221,196,27,92,1747,578,73,39.0,513,17,81,799,118.0,0.388,0.354,0.742,133.0,0.279,0.19
2011,KIA,0.269,133,5129,4373,627,1177,204,15,106,1729,597,109,34.0,554,11,59,782,110.0,0.395,0.357,0.752,133.0,0.28,0.203
