연도,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
2002,이상목,한화,1,0,0,0,-,0,0
2002,임주택,한화,6,0,0,0,-,0,0
2002,정성열,한화,9,0,0,0,-,0,0
2002,조규수,한화,1,0,0,0,-,0,0
2002,조정권,한화,15,0,0,0,-,0,0
2002,조현,한화,6,0,0,0,-,0,0
2002,조현수,한화,33,0,0,0,-,0,0
2002,조효상,한화,24,0,0,0,-,0,0
2002,지승민,한화,1,0,0,0,-,0,0
2002,채상병,한화,29,0,0,0,-,0,0
2002,최영필,한화,1,0,0,0,-,0,0
2002,파라,한화,4,0,0,0,-,0,0
2002,피코타,한화,3,0,0,0,-,0,0
2002,허준,한화,103,4,0,4,0.0,0,0
2002,김민철,KIA,58,1,0,1,0.0,0,0
2002,김지영,KIA,11,0,0,0,-,0,0
2002,김지훈,KIA,49,0,0,0,-,0,0
2002,김태룡,KIA,66,1,0,1,0.0,0,0
2002,박충식,KIA,1,0,0,0,-,0,0
2002,방동민,KIA,1,0,0,0,-,0,0
2002,오우진,KIA,14,0,0,0,-,0,0
2002,이강철,KIA,2,0,0,0,-,0,0
2002,이대진,KIA,23,0,0,0,-,0,0
2002,이동수,KIA,28,0,0,0,-,0,0
2002,이재주,KIA,26,0,0,0,-,0,0
2002,조민철,KIA,12,0,0,0,-,0,0
2002,황성기,KIA,2,0,0,0,-,0,0
2002,경헌호,LG,3,0,0,0,-,0,0
2002,김상현,LG,31,0,0,0,-,0,0
2002,김용우,LG,9,0,0,0,-,0,0
2002,김우석,LG,43,1,0,1,0.0,0,0
2002,김재학,LG,12,0,0,0,-,0,0
2002,김정민,LG,32,0,0,0,-,0,0
2002,김현민,LG,16,0,0,0,-,0,0
2002,만자니오,LG,1,0,0,0,-,0,0
2002,서승화,LG,2,0,0,0,-,0,0
2002,신윤호,LG,2,0,0,0,-,0,0
2002,안상준,LG,41,1,0,1,0.0,0,0
2002,안치용,LG,1,0,0,0,-,0,0
2002,유택현,LG,3,0,0,0,-,0,0
2002,윤현식,LG,13,0,0,0,-,0,0
2002,이광우,LG,1,0,0,0,-,0,0
2002,이동현,LG,3,0,0,0,-,0,0
2002,이상훈,LG,2,0,0,0,-,0,0
2002,이일의,LG,72,1,0,1,0.0,0,0
2002,최창호,LG,2,0,0,0,-,0,0
2002,추승우,LG,6,0,0,0,-,0,0
2002,케펜,LG,1,0,0,0,-,0,0
2002,퀸란,LG,13,0,0,0,-,0,0
2002,홍현우,LG,25,1,0,1,0.0,0,0
2002,강성우,SK,62,0,0,0,-,0,0
2002,강혁,SK,31,0,0,0,-,0,0
2002,김강민,SK,1,1,0,1,0.0,0,0
2002,김동건,SK,10,0,0,0,-,0,0
2002,김재구,SK,15,0,0,0,-,0,0
2002,박계원,SK,3,0,0,0,-,0,0
2002,오승준,SK,1,0,0,0,-,0,0
2002,윤형국,SK,11,0,0,0,-,0,0
2002,이대수,SK,3,0,0,0,-,0,0
2002,잉글린,SK,78,1,0,1,0.0,0,0
2002,정경배,SK,75,1,0,1,0.0,0,0
2002,정대현,SK,1,0,0,0,-,0,0
2002,정상호,SK,28,0,0,0,-,0,0
2002,조경환,SK,93,1,0,1,0.0,0,0
2002,조동화,SK,4,0,0,0,-,0,0
2002,조웅천,SK,2,0,0,0,-,0,0
2002,채병용,SK,1,0,0,0,-,0,0
2002,김사율,롯데,1,0,0,0,-,0,0
2002,김장현,롯데,1,0,0,0,-,0,0
2002,김정현,롯데,24,3,0,3,0.0,0,0
2002,김제빈,롯데,1,0,0,0,-,0,0
2002,김풍철,롯데,1,0,0,0,-,0,0
2002,노승욱,롯데,1,0,0,0,-,0,0
2002,문규현,롯데,1,0,0,0,-,0,0
2002,박경진,롯데,39,0,0,0,-,0,0
2002,박상민,롯데,30,1,0,1,0.0,0,0
2002,박정태,롯데,103,2,0,2,0.0,0,0
2002,박종윤,롯데,10,0,0,0,-,0,0
2002,베로아,롯데,11,0,0,0,-,0,0
2002,에르난데스,롯데,1,0,0,0,-,0,0
2002,이명호,롯데,7,0,0,0,-,0,0
2002,최준석,롯데,2,0,0,0,-,0,0
2002,해처,롯데,25,0,0,0,-,0,0
2002,허일상,롯데,42,0,0,0,-,0,0
2003,이종범,KIA,132,60,50,10,83.3,0,0
2003,박용택,LG,133,54,42,12,77.8,0,0
2003,김종국,KIA,125,42,31,11,73.8,0,0
2003,마르티네스,LG,131,41,27,14,65.9,0,0
2003,김수연,한화,128,31,26,5,83.9,0,0
2003,유지현,LG,109,31,23,8,74.2,0,0
2003,조성환,롯데,129,34,23,11,67.6,0,0
2003,전준호,현대,129,29,20,9,69.0,0,0
2003,이영우,한화,133,27,18,9,66.7,0,0
2003,박한이,삼성,133,24,17,7,70.8,0,0
2003,정수근,두산,89,22,15,7,68.2,0,0
2003,박재홍,KIA,108,23,14,9,60.9,0,0
2003,김민재,SK,129,21,14,7,66.7,0,0
2003,장성호,KIA,130,17,13,4,76.5,0,0
2003,조원우,SK,128,18,13,5,72.2,0,0
2003,최경환,두산,115,14,10,4,71.4,0,0
2003,이진영,SK,128,19,10,9,52.6,0,0
2003,고지행,삼성,92,14,9,5,64.3,0,0
2003,정성훈,현대,91,13,9,4,69.2,0,0
2003,이호준,SK,133,16,9,7,56.3,0,0
2003,정경배,SK,119,12,9,3,75.0,0,0
2003,강동우,삼성,130,12,8,4,66.7,0,0
2003,이현곤,KIA,129,12,8,4,66.7,0,0
2003,송지만,한화,74,14,8,6,57.1,0,0
2003,이승엽,삼성,131,7,7,0,100.0,0,0
2003,김상현,LG,55,8,7,1,87.5,0,0
2003,이대형,LG,47,10,7,3,70.0,0,0
2003,김경언,KIA,125,14,7,7,50.0,0,0
2003,홍세완,KIA,129,14,7,7,50.0,0,0
2003,전상렬,두산,125,13,7,6,53.8,0,0
2003,김주찬,롯데,55,9,7,2,77.8,0,0
2003,박기혁,롯데,95,11,7,4,63.6,0,0
2003,박현승,롯데,118,15,7,8,46.7,0,0
2003,이시온,롯데,90,8,7,1,87.5,0,0
2003,박종호,현대,131,10,6,4,60.0,0,0
2003,박진만,현대,129,11,6,5,54.5,0,0
2003,심정수,현대,133,8,6,2,75.0,0,0
2003,프랭클린,현대,38,8,6,2,75.0,0,0
2003,박경완,SK,122,12,6,6,50.0,0,0
2003,임재철,한화,119,12,6,6,50.0,0,0
2003,한상훈,한화,95,9,6,3,66.7,0,0
2003,최기문,롯데,119,11,6,5,54.5,0,0
2003,김한수,삼성,131,7,5,2,71.4,0,0
2003,안상준,LG,73,6,5,1,83.3,0,0
2003,이종열,LG,100,8,5,3,62.5,0,0
2003,김민호,두산,77,8,5,3,62.5,0,0
2003,김창희,두산,121,8,5,3,62.5,0,0
2003,디아즈,SK,112,5,5,0,100.0,0,0
